#separator:tab
#html:true
#tags column:3
Die {{c1::Krankenpflegerin::die Krankenschwester}} kümmert sich aufopferungsvoll/&nbsp;hingebungsvoll/leidenschaftlich um die Patienten.	Als Krankenpflegerin auf der Intensivstation trägt sie viel Verantwortung.	
Diese Universität ist die größte {{c1::Bildungseinrichtung::die Schule / Universität}} der Stadt.	Bibliotheken sind für viele Menschen wichtige Bildungseinrichtungen.	
Die Nachfrage nach den Tickets {{c1::übersteigt::mehr sein als}} das Angebot enorm.	Die Kosten für das Bauprojekt übersteigen unser gesamtes Budget.	
Der Gewinn des Unternehmens hat sich in zehn Jahren ver{{c1::fünffacht::fünfmal so viel}}.	Die Reparatur war leider ein fünffacher Aufwand als ursprünglich gedacht.	
Die Technologie entwickelt sich derzeit {{c1::rasant::sehr schnell}} weiter.	Die Preise für Immobilien steigen in dieser Stadt wirklich rasant.	
Das neue Modell {{c1::weist}} einige wesentliche Verbesserungen {{c1::auf::haben / zeigen}}.	Der Vertrag weist an mehreren Stellen rechtliche Fehler auf.	
Ein gutes {{c1::Schulklima::die Atmosphäre in der Schule}} ist wichtig für den Lernerfolg der Kinder.	Das angespannte Schulklima führt zu vielen Konflikten unter den Schülern.	
Ihr leuchtend rotes Auto fällt sofort {{c1::ins Auge::auffallen}}.	Seine seltsame Kleidung fiel allen auf der Party direkt ins Auge.	
Nach seiner Kündigung hinterlässt er eine große {{c1::Lücke::der Freiraum / das Fehlen}} im Team.	Er hat eine auffällige Lücke zwischen seinen vorderen Schneidezähnen.	
Der {{c1::Schwerpunkt::das Hauptgewicht / der Fokus}} seines Studiums liegt auf der Wirtschaftsinformatik.	In diesem Kurs liegt der Schwerpunkt stark auf praktischen Übungen.	
Der Klimawandel ist ein wichtiges {{c1::gesellschaftliches::sozial / die Gesellschaft betreffend}} Thema.	Sie engagiert sich sehr für gesellschaftliche Probleme in ihrer Heimatstadt.	
Die Gesellschaft befindet sich in einem ständigen {{c1::Wandel::die Veränderung}}.	Der demografische Wandel stellt unsere Wirtschaft vor große Probleme.	
Die körperlichen {{c1::Anforderungen::der Anspruch / die Voraussetzung}} in diesem Beruf sind sehr hoch.	Sie erfüllt alle nötigen Anforderungen für diese anspruchsvolle Position.	
Unser neues Teammitglied ist sehr zielstrebig und {{c1::motiviert::engagiert sein}}.	Ein motivierter Mitarbeiter arbeitet oft viel schneller als andere.	
Das Programm des Festivals ist dieses Jahr sehr {{c1::bunt::farbig / vielfältig}} gemischt.	Sie hat den grauen Raum mit einigen sehr bunten Kissen dekoriert.	
Die Schule bietet spezielle Förderprogramme für {{c1::Hochbegabte::das Genie}} an.	Schon im Kindergarten fiel auf, dass der Junge hochbegabt ist.	
Das Auto ist sehr sparsam und {{c1::zudem::außerdem / zusätzlich}} noch günstig in der Versicherung.	Es hat den ganzen Tag geregnet und zudem war es eiskalt.	
Sie hat die {{c1::Initiative::der erste Schritt / die Aktion}} ergriffen und das Projekt gestartet.	Bürger gründeten eine Initiative zur Rettung des örtlichen Schwimmbads.	
{{c1::Aufgrund::wegen}} des starken Schneefalls fallen heute viele Züge aus.	Aufgrund seiner langen Erfahrung wurde er für den Job ausgewählt.	
Das Museum ist leider nicht für Rollstuhlfahrer {{c1::zugänglich::offen sein für}}.	Wichtige Regierungsdokumente sind für die Öffentlichkeit nicht zugänglich.	
Der Politiker {{c1::betonte::hervorheben}} die Wichtigkeit der neuen Reformen.	Er betonte immer wieder, dass er von dem Vorfall nichts wusste.	
Vertrauen ist ein wesentliches {{c1::Element::der Bestandteil}} jeder guten Beziehung.	Chemische Elemente werden im Periodensystem systematisch geordnet.	
Bei diesem schnellen Tempo konnte er beim Laufen nicht mehr {{c1::mithalten::Schritt halten / nicht zurückbleiben}}.	Mit der Konkurrenz aus Asien können viele lokale Firmen kaum noch mithalten.	
Die Firma investiert viel Geld, um ihr negatives {{c1::Image::der Ruf}} zu verbessern.	Ein schlechtes Image kann den Verkauf eines Produktes völlig ruinieren.	
Ein neuer Anstrich würde das alte Haus deutlich {{c1::aufwerten::verbessern / wertvoller machen}}.	Durch die neuen Möbel wurde das Wohnzimmer optisch stark aufgewertet.	
Kinder haben oft eine natürliche {{c1::Neugier::der Wissensdrang}} und stellen viele Fragen.	Die seltsame Kiste in der Ecke weckte sofort seine Neugier.	
Im Sommer können Mücken sehr {{c1::lästig::störend / unbequem}} sein.	Das Ausfüllen dieser langen Formulare ist eine extrem lästige Aufgabe.	
Seine laute Musik fängt langsam an, mich zu {{c1::nerven::stören / ärgern}}.	Es nervt mich total, wenn Leute während des Films am Handy sind.	
Ihr Talent für Musik scheint ihr wirklich {{c1::angeboren::seit der Geburt vorhanden}} zu sein.	Manche Ängste der Menschen sind scheinbar tief in uns angeboren.	
Auch mit 80 Jahren ist er noch sehr sportlich und {{c1::vital::lebenswichtig / voller Energie}}.	Vitale Funktionen des Körpers müssen nach dem Unfall überwacht werden.	
Wenn sie nicht aufpasst, {{c1::kracht::es gibt einen Unfall/Streit}} es gleich.	Draußen kracht und blitzt es wegen des schweren Gewitters gewaltig.	
Die Rettungswagen waren in wenigen Minuten am {{c1::Unfallort::die Unfallstelle}}.	Die Polizei hat den Unfallort weiträumig mit Bändern abgesperrt.	
Seine Methoden, um Geld zu verdienen, sind {{c1::moralisch fragwürdig::ethisch nicht korrekt}}.	Ihre Entscheidung, die Wahrheit zu verschweigen, ist moralisch fragwürdig.	
Das Schwimmen in diesem Fluss ist wegen der Strömung {{c1::lebensgefährlich::sehr gefährlich}}.	Die tiefen Verletzungen des Fahrers waren glücklicherweise nicht lebensgefährlich.	
Er hat einen {{c1::unstillbaren::nicht zu befriedigen}} Hunger nach neuen Abenteuern.	Das Baby weinte die ganze Nacht wegen eines unstillbaren Durstes.	
Der {{c1::wissbegierige::neugierig / lernbereit}} Student hat immer viele Fragen an den Professor.	Kinder in diesem Alter sind meist unglaublich wachsam und wissbegierig.	
Die Autorin wird am Ende des Buches das große {{c1::Geheimnis lüften::ein Geheimnis verraten}}.	Die Ermittler konnten endlich das Geheimnis um den alten Tresor lüften.	
Schon als Kind hatte er einen starken {{c1::Drang nach::das starke Bedürfnis nach}} Freiheit.	Sie verspürte plötzlich den Drang, nach draußen in die Natur zu gehen.	
Ein Glas Wasser wird meinen Durst schnell {{c1::befriedigen::zufriedenstellen}}.	Die Antwort des Politikers konnte die kritischen Journalisten nicht befriedigen.	
Wir brauchen eine {{c1::fundamentale::grundlegend}} Änderung unseres Systems.	Es gibt einen fundamentalen Unterschied zwischen diesen beiden Theorien.	
Der Redner verlangte die volle {{c1::Aufmerksamkeit::die Beachtung}} des Publikums.	Die ungewöhnliche Werbung erregte sofort viel Aufmerksamkeit auf der Straße.	
Ich verbitte mir jede {{c1::Einmischung::das Eingreifen}} in meine privaten Angelegenheiten.	Die ständige Einmischung der Schwiegermutter führte oft zum Streit.	
Der ständige Lärm der Baustelle ist für die Nachbarn ein großes {{c1::Ärgernis::das Problem / der Ärger}}.	Das defekte Auto auf der Autobahn wurde schnell zu einem Verkehrshindernis und Ärgernis.	
Die Partei {{c1::distanzierte sich::sich entfernen von}} sofort von den extremen Aussagen.	Er möchte sich komplett von seinem früheren kriminellen Leben distanzieren.	
Seine Lösung für das Problem war leider sehr {{c1::unkreativ::ohne Fantasie}}.	Ich fühle mich heute völlig müde und total unkreativ.	
Dieses starke Medikament hat leider einige unangenehme {{c1::Nebenwirkungen::der unerwünschte Effekt}}.	Ein Verlust von Arbeitsplätzen wäre eine schlimme Nebenwirkung dieser Wirtschaftskrise.	
Auf einer {{c1::Skala::der Maßstab}} von 1 bis 10, wie stark sind Ihre Schmerzen?	Die Temperatur wird auf dieser Skala in Fahrenheit und nicht in Celsius angezeigt.	
In der heutigen Arbeitswelt ist {{c1::lebenslanges Lernen::die ständige Weiterbildung}} unverzichtbar.	Die Firma bietet viele Seminare an und fördert das lebenslange Lernen.	
Sie erledigt ihre Aufgaben im Büro immer extrem {{c1::gewissenhaft::sehr genau / sorgfältig}}.	Ein Pilot muss das Flugzeug vor jedem Start gewissenhaft kontrollieren.	
Der {{c1::Brandschutzbeauftragte::der Brandschutz-Experte}} überprüft regelmäßig die Feuerlöscher.	Jede große Firma muss gesetzlich einen Brandschutzbeauftragten einstellen.	
Er hat eine hohe {{c1::Stellung::die Position}} im Management der Firma.	Die Armee musste diese wichtige Stellung an der Grenze lange verteidigen.	
Der {{c1::Brand::das Feuer}} hat die alte Lagerhalle völlig zerstört.	Wegen der extremen Trockenheit kam es im Wald schnell zu einem Brand.	
Es ist schwer zu {{c1::beurteilen::einschätzen / bewerten}}, wer in diesem Konflikt recht hat.	Der Lehrer muss die Leistung jedes Schülers fair beurteilen.	
Wir müssen das Problem so schnell wie möglich {{c1::beseitigen::entfernen}}.	Die Arbeiter konnten den Mangel an der Maschine glücklicherweise schnell beseitigen.	
In Deutschland gibt es aktuell einen Mangel an gut ausgebildeten {{c1::Fachkräften::der qualifizierte Arbeiter}}.	Das kleine Unternehmen sucht dringend nach einer neuen Fachkraft für IT.	
Unter seiner {{c1::Leitung::die Führung}} hat die Abteilung sehr gute Ergebnisse erzielt.	Die Leitung des Kindergartens hat heute einen Brief an alle Eltern verschickt.	
Sind in diesem Hotelzimmer Handtücher {{c1::vorhanden::existent / verfügbar}}?	Es sind leider nicht genug Stühle für alle Gäste vorhanden.	
Die neue Maschine wird den gesamten {{c1::Produktionsablauf::der Herstellungsprozess}} beschleunigen.	Ein kleiner Fehler störte den gesamten Produktionsablauf der Fabrik.	
{{c1::Vorbeugende::präventiv}} Maßnahmen sind wichtig, um Unfälle zu vermeiden.	Das Einnehmen von Vitaminen kann vorbeugend gegen eine Erkältung wirken.	
{{c1::Erfahrungsgemäß::aus Erfahrung}} ist der Verkehr am Freitagnachmittag besonders schlimm.	Erfahrungsgemäß schneit es in diesem Bergdorf bereits im November.	
Die Regierung plant neue {{c1::Maßnahmen::die Handlung / der Schritt}} zum Schutz der Umwelt.	Wir müssen sofort geeignete Maßnahmen ergreifen, um die Situation zu retten.	
Der Kauf der neuen Maschinen war eine lohnende {{c1::Investition::die Kapitalanlage}}.	Das Haus war teuer, aber es ist eine sehr sichere Investition für die Zukunft.	
Bäcker ist ein traditioneller {{c1::Lehrberuf::der Ausbildungsberuf}}.	Viele junge Leute interessieren sich heute kaum noch für handwerkliche Lehrberufe.	
In Deutschland gibt es eine strenge {{c1::Schulpflicht::die Pflicht zum Schulbesuch}} für alle Kinder.	Wegen der allgemeinen Schulpflicht dürfen Eltern ihre Kinder nicht einfach zu Hause unterrichten.	
Wir müssen einen {{c1::Elektriker::der Fachmann für Strom}} rufen, da wir keinen Strom mehr haben.	Der Elektriker hat gestern die kaputten Kabel in der Wand repariert.	
Die Firma hat sich auf umweltfreundliche Technologien {{c1::spezialisiert::Experte werden in}}.	Dieser Arzt hat sich auf die Heilung seltener Augenkrankheiten spezialisiert.	
Sie hat an einem {{c1::Lehrgang::der Kurs}} für Erste Hilfe teilgenommen.	Der Chef schickt seine Mitarbeiter jedes Jahr auf einen teuren Lehrgang.	
Der Druck vor der Abschlussprüfung war für ihn {{c1::enorm::sehr groß / gewaltig}}.	Ihre musikalische Entwicklung in den letzten Monaten war enorm.	
Sie hat eine sehr starke und selbstbewusste {{c1::Persönlichkeit::der Charakter}}.	Er ist eine sehr ruhige und zurückhaltende Persönlichkeit.	
Die Zahl der Mitglieder in unserem Verein wächst {{c1::stetig::kontinuierlich}}.	Das Einkommen des kleinen Betriebs ist im letzten Jahr stetig gestiegen.	
{{c1::Heutzutage::in der heutigen Zeit}} ist fast jeder Mensch über das Smartphone erreichbar.	Heutzutage kann man fast jedes Produkt bequem online bestellen.	
Nach dem Krieg dauerte es Jahre, bis das Land wieder zu {{c1::Wohlstand::der Reichtum}} kam.	Der wachsende Wohlstand in der Region führte zu vielen neuen Bauprojekten.	
Mit diesem Abschluss hast du exzellente berufliche {{c1::Perspektiven::die Aussicht}}.	Aus meiner Perspektive sieht die Lösung für das Problem ganz anders aus.	
Durch den Sport hat das schüchterne Kind viel {{c1::Selbstvertrauen::das Vertrauen in sich selbst}} gewonnen.	Nach dem Fehler in der Präsentation hat sie etwas an Selbstvertrauen verloren.	
Die Gesundheit der Familie ist für seine {{c1::Zufriedenheit::die Glücklichkeit}} das Wichtigste.	Die hohe Zufriedenheit unserer Kunden ist unser oberstes Ziel.	
Südländer nutzen beim Sprechen oft eine sehr lebhafte {{c1::Gestik::die Handbewegung}}.	Der Politiker unterstrich seine lauten Worte mit dramatischer Gestik.	
Eine aufrechte {{c1::Körperhaltung::die Postur}} wirkt sofort selbstbewusster.	Durch langes Sitzen am Computer bekommt man schnell eine schlechte Körperhaltung.	
Der Zeuge machte bei der Polizei eine sehr detaillierte {{c1::Aussage::das Statement}}.	Ich stimme dieser radikalen Aussage absolut nicht zu.	
Ich bin sehr nervös, weil ich morgen ein wichtiges {{c1::Vorstellungsgespräch::das Interview für einen Job}} habe.	Sie hat das Vorstellungsgespräch gemeistert und die Stelle sofort bekommen.	
Wenn Sie Urlaub beantragen möchten, müssen Sie Ihren {{c1::Vorgesetzten::der Chef}} fragen.	Er versteht sich glücklicherweise sehr gut mit seinem neuen Vorgesetzten.	
Er hat sich vom einfachen Arbeiter zum Direktor {{c1::hochgearbeitet::Karriere machen}}.	Es dauert Jahre, bis man sich in dieser Branche erfolgreich hochgearbeitet hat.	
Die Medizin konnte die {{c1::Ausbreitung::die Verbreitung}} der Krankheit stoppen.	Feuerwehrleute versuchten vergeblich, die Ausbreitung des Feuers zu verhindern.	
Wir müssen beim Thema Umweltschutz endlich {{c1::umdenken::die Meinung ändern}}.	Wenn die Verkaufszahlen nicht steigen, muss die Firma wohl umdenken.	
Die Lehrerin begrüßte die neuen {{c1::Kursteilnehmer::der Schüler im Kurs}} herzlich.	Alle Kursteilnehmer bekamen am Ende ein Zertifikat für ihre Leistungen.	
Nach drei Jahren in der Firma hat sie nach einer {{c1::Gehaltserhöhung::die Lohnerhöhung}} gefragt.	Ohne eine Gehaltserhöhung werde ich mir wohl einen neuen Job suchen müssen.	
Das menschliche Gehirn ist ein sehr {{c1::komplexes::kompliziert}} Organ.	Die Regeln dieses alten Brettspiels sind unglaublich komplex.	
Diese Aufgabe ist sehr {{c1::anspruchsvoll::fordernd}} und erfordert viel Konzentration.	Sie ist eine sehr anspruchsvolle Kundin, die man nur schwer zufriedenstellen kann.	
Das Unternehmen sucht dringend nach neuen, qualifizierten {{c1::Arbeitskräften::der Arbeitnehmer}}.	In der Landwirtschaft fehlt es während der Ernte oft an Arbeitskräften.	
Der Staat sollte mehr in die Bildung der Kinder {{c1::investieren::Geld anlegen in}}.	Es ist wichtig, etwas Zeit in eine gute Planung zu investieren.	
Auch im hohen Alter bleibt das menschliche Gehirn erstaunlich {{c1::lernfähig::in der Lage zu lernen}}.	Dieser kleine Hund ist sehr lernfähig und beherrscht schon viele Tricks.	
Diese einsame Insel mit ihren weißen Stränden ist ein echtes {{c1::Paradies::der Garten Eden}}.	Der riesige Garten hinter dem Haus ist ein wahres Paradies für Kinder.	
Viel Plastikmüll landet leider immer noch auf der {{c1::Müllkippe::die Mülldeponie}}.	Nach dem großen Straßenfest glich der Platz einer reinsten Müllkippe.	
Wir haben unseren Urlaub in einer Hütte in einer sehr {{c1::abgelegenen::isoliert}} Bergregion verbracht.	Das Dorf ist so abgelegen, dass es dort kein Internet gibt.	
Das alte Schiff ist im Ozean {{c1::versunken::untergehen}}.	Er saß auf dem Sofa und war völlig in seine Gedanken versunken.	
Auf dieser {{c1::unbewohnten::ohne Einwohner}} Insel gibt es nur Tiere und Pflanzen.	Das unbewohnte Haus am Ende der Straße sieht ziemlich unheimlich aus.	
Der Wolkenkratzer in Dubai hat {{c1::gigantische::riesig}} Ausmaße.	Der Hunger war nach der langen Wanderung einfach gigantisch.	
Das wahre {{c1::Ausmaß::die Größe / die Dimension}} der Zerstörung wurde erst nach dem Sturm sichtbar.	Das Feuer nahm schnell ein bedrohliches Ausmaß an.	
Das klare Wasser {{c1::spiegelt}} die Berge {{c1::wider::reflektieren}}.	Ihre Noten spiegeln leider nicht ihr wahres Talent wider.	
Wir müssen bei der Planung auch das schlechte Wetter {{c1::berücksichtigen::beachten}}.	Bitte berücksichtigen Sie, dass der Bus am Wochenende seltener fährt.	
Der LKW hat mehrere {{c1::Tonnen::1000 Kilogramm}} Sand geladen.	Die Fabrik verbraucht jeden Tag unzählige Tonnen an Kohle.	
In diesem Restaurant essen {{c1::zumeist::meistens}} einheimische Gäste.	Das Wetter im Mai ist hier zumeist sonnig und warm.	
Die {{c1::Oberfläche::die Außenseite}} des Tisches ist sehr glatt.	Wir haben das Thema nur an der Oberfläche berührt.	
Man kann nicht immer andere für seine eigenen Fehler {{c1::verantwortlich machen::die Schuld geben}}.	Die Polizei konnte niemanden für den entstandenen Schaden verantwortlich machen.	
{{c1::Bislang::bis jetzt}} hat sich noch niemand auf unsere Stellenanzeige gemeldet.	Bislang lief in diesem großen Projekt alles streng nach Plan.	
Wie sind diese geheimen Informationen an die Presse {{c1::gelangt::ankommen}}?	Nach drei Tagen Wanderung sind wir endlich an unser Ziel gelangt.	
Das {{c1::restliche::übrig}} Essen stellen wir einfach in den Kühlschrank.	Ich werde meine restlichen Urlaubstage im Dezember nehmen.	
Bei Milchprodukten muss man auf das genaue Datum der {{c1::Haltbarkeit::die Lebensdauer}} achten.	Die Haltbarkeit dieser Konservendose beträgt noch mindestens zwei Jahre.	
Der Regenwald ist ein sehr sensibles {{c1::Ökosystem::die Lebensgemeinschaft in der Natur}}.	Verschmutztes Wasser kann das gesamte Ökosystem eines Sees zerstören.	
Das Land ist seit über hundert Jahren ein {{c1::unabhängiger::selbstständig / frei}} Staat.	Er traf diese schwierige Entscheidung völlig unabhängig von der Meinung seiner Eltern.	
Er möchte nach dem Studium eine eigene Firma {{c1::gründen::aufbauen / ins Leben rufen}}.	Einige Studenten wollen eine Initiative für mehr Umweltschutz gründen.	
Die Tankstelle an der Autobahn hat {{c1::rund um die Uhr::24 Stunden am Tag}} geöffnet.	Meine Nachbarn feiern am Wochenende manchmal rund um die Uhr.	
Es ist mein eiserner {{c1::Grundsatz::das Prinzip}}, niemals Schulden zu machen.	Ein wichtiger politischer Grundsatz ist die Freiheit der Meinungsäußerung.	
Zu Hause bei ihrer Familie findet sie viel Wärme und {{c1::Geborgenheit::die Sicherheit}}.	Das kleine Kätzchen suchte Geborgenheit bei seiner Mutter.	
Er ist ein sehr {{c1::verlässlicher::zuverlässig}} Freund, der immer pünktlich ist.	Wir brauchen verlässliche Daten, bevor wir eine Entscheidung treffen.	
Nach dem schweren Unfall brauchte er auch {{c1::seelische::psychisch}} Unterstützung.	Die schlimmen Nachrichten waren eine große seelische Belastung für ihn.	
Leider werden immer noch viele Tiere grausam {{c1::misshandelt::schlecht behandeln / quälen}}.	Er wurde als Kind schwer misshandelt und hat noch heute Angst.	
Es wird einige Zeit dauern, bis sie diesen Schock {{c1::verarbeitet::bewältigen}} hat.	Die Fabrik verarbeitet täglich tonnenweise frisches Obst zu Saft.	
Er hat diese extrem schwierige Aufgabe hervorragend {{c1::gemeistert::bewältigen / schaffen}}.	Sie hat die Krise im Unternehmen sehr gut gemeistert.	
Er hat {{c1::sich}} vertraglich {{c1::verpflichtet::versprechen (verbindlich)}}, die Geheimhaltung zu wahren.	Die Firma hat sich dazu verpflichtet, in Zukunft mehr recycelte Materialien zu nutzen.	
Seine Leistungen in der Schule waren in letzter Zeit leider {{c1::ungenügend::nicht ausreichend}}.	Das Angebot der Firma war ungenügend, weshalb wir es abgelehnt haben.	
Wir leben im {{c1::Zeitalter::in der Epoche}} der digitalen Kommunikation.	Das eiserne Zeitalter brachte viele neue technologische Entwicklungen.	
